"Name","LogicProjectile","ParentProjectileForSkin","Disabled","FileName","BlueSCW","RedSCW","BlueExportName","RedExportName","ShadowExportName","BlueGroundGlowExportName","RedGroundGlowExportName","PreExplosionExportFileName","PreExplosionBlueExportName","PreExplosionRedExportName","PreExplosionScale","HitEffectEnv","HitEffectChar","MaxRangeReachedEffect","CancelEffect","HideTime","Scale","RandomStartFrame","StatusEffectAlly","StatusEffectEnemy","StatusEffectSelfOnHit","SpawnAreaEffectObject","SpawnAreaEffectObject2","SpawnAreaEffectObjectsAdditional","SpawnItem","SpawnAreaEffectTrail","TrailEffect","SpecialTrailEffect","SpecialTrailEffect2","TrailBehaviorType","TargetedToSourceEffect","TargetedToSourceEffectOnTarget","Rendering","ChainBullet","AnimateByDistanceTravelled","SpecialVisualState","HideFaster","UseColorMod","RedAdd","GreenAdd","BlueAdd","RedMul","GreenMul","BlueMul","GroundBasis","AppliedEffectVisualType","VisualizeEndPoint","CustomObject","CustomObject2","OnCreateAreaEffect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly004UltiProjectile","ShotgunGirlUltiProjectile","ShotgunGirlUltiProjectile","","sc/effects_brawler.sc","","","shelly_003_ulti_projectile","shelly_003_ulti_projectile_red","shadow_normal_circle","","","","","","","shelly_003_ulti_reached","shelly_003_ulti_hit_red","shelly_003_ulti_reached","","0","100","","","","","","","","","","shelly_003_ulti_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly005Projectile","ShotgunGirlProjectile","ShotgunGirlProjectile","","sc/effects_brawler.sc","","","shelly_005_atk_projectile","shelly_005_atk_projectile_red","shadow_normal_circle","","","","","","","shelly_005_atk_hitEnv","shelly_005_atk_hit","shelly_005_atk_reached","","0","100","1","","","","","","","","","shelly_005_atk_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly005UltiProjectile","ShotgunGirlUltiProjectile","ShotgunGirlUltiProjectile","","sc/effects_brawler.sc","","","shelly_005_ulti_projectile","shelly_005_ulti_projectile_red","shadow_normal_circle","","","","","","","shelly_005_ulti_reached","shelly_005_ulti_hit_red","shelly_005_ulti_reached","","0","100","1","","","","","","","","","shelly_005_ulti_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly006Projectile","ShotgunGirlProjectile","ShotgunGirlProjectile","","sc/effects_brawler.sc","","","shelly_006_atk_projectile","shelly_006_atk_projectile_red","shadow_normal_circle","","","","","","","shelly_006_atk_hitEnv","shelly_006_atk_hit","shelly_006_atk_reached","","0","100","2","","","","","","","","","shelly_006_atk_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly006UltiProjectile","ShotgunGirlUltiProjectile","ShotgunGirlUltiProjectile","","sc/effects_brawler.sc","","","shelly_006_ulti_projectile","shelly_006_ulti_projectile_red","shadow_normal_circle","","","","","","","shelly_006_ulti_reached","shelly_006_ulti_hit_red","shelly_006_ulti_reached","","0","100","2","","","","","","","","","shelly_006_ulti_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly007Projectile","ShotgunGirlProjectile","ShotgunGirlProjectile","","sc/effects_brawler.sc","","","shelly_007_atk_projectile","shelly_007_atk_projectile_red","shadow_normal_circle","","","","","","","shelly_007_atk_hitEnv","shelly_007_atk_hit","shelly_007_atk_reached","","0","100","2","","","","","","","","","shelly_007_atk_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly007UltiProjectile","ShotgunGirlUltiProjectile","ShotgunGirlUltiProjectile","","sc/effects_brawler.sc","","","shelly_007_ulti_projectile","shelly_007_ulti_projectile_red","shadow_normal_circle","","","","","","","shelly_007_ulti_hitEnv","shelly_007_ulti_hit_red","shelly_007_ulti_reached","","0","100","2","","","","","","","","","shelly_007_ulti_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly008Projectile","ShotgunGirlProjectile","ShotgunGirlProjectile","","sc/effects_brawler.sc","","","shelly_008_atk_projectile","shelly_008_atk_projectile_red","shadow_normal_circle","","","","","","","shelly_008_atk_hitEnv","shelly_008_atk_hit","shelly_008_atk_reached","","0","100","2","","","","","","","","","shelly_008_atk_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Shelly008UltiProjectile","ShotgunGirlUltiProjectile","ShotgunGirlUltiProjectile","","sc/effects_brawler.sc","","","shelly_008_ulti_projectile","shelly_008_ulti_projectile_red","shadow_normal_circle","","","","","","","shelly_008_ulti_hitEnv","shelly_008_ulti_hit_red","shelly_008_ulti_reached","","0","100","2","","","","","","","","","shelly_008_ulti_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GunslingerProjectile","GunslingerProjectile","","","sc/effects_brawler.sc","","","bullet_pistol_def_atk_blue","bullet_pistol_def_atk_red","shadow_normal_circle","","","","","","","Gen_hit","Gen_hit","colt_def_atk_reached","","0","130","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GunslingerUltiProjectile","GunslingerUltiProjectile","","","sc/effects_brawler.sc","","","bullet_pistol_def_ulti_blue","bullet_pistol_def_ulti_red","shadow_normal_circle","","","","","","","Gen_hit","Gen_hit","colt_def_ulti_reached","","0","125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colt002Projectile","GunslingerProjectile","GunslingerProjectile","","sc/effects_brawler.sc","","","colt_002_bullet_atk_blue","colt_002_bullet_atk_red","shadow_normal_circle","","","","","","","colt_002_hit","colt_002_hit","colt_def_atk_reached","","0","130","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colt002UltiProjectile","GunslingerUltiProjectile","GunslingerUltiProjectile","","sc/effects_brawler.sc","","","colt_002_bullet_ulti_blue","colt_002_bullet_ulti_red","shadow_normal_circle","","","","","","","colt_002_hit","colt_002_hit","colt_def_ulti_reached","","0","125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colt003Projectile","GunslingerProjectile","GunslingerProjectile","","sc/effects_brawler.sc","","","colt_003_bullet_atk_blue","colt_003_bullet_atk_red","shadow_normal_circle","","","","","","","colt_003_atk_hitEnv","colt_003_atk_hit","colt_003_atk_reached","","0","130","2","","","","","","","","","colt_003_atk_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colt003UltiProjectile","GunslingerUltiProjectile","GunslingerUltiProjectile","","sc/effects_brawler.sc","","","colt_003_bullet_ulti_blue","colt_003_bullet_ulti_red","shadow_normal_circle","","","","","","","colt_003_atk_hitEnv","colt_003_atk_hit","colt_003_ulti_reached","","0","125","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colt004Projectile","GunslingerProjectile","GunslingerProjectile","","sc/effects_brawler.sc","","","colt_004_bullet_atk_blue","colt_004_bullet_atk_red","shadow_normal_circle","","","","","","","colt_004_atk_reached","colt_004_atk_hit","colt_004_atk_reached","","0","130","","","","","","","","","","colt_003_atk_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colt004UltiProjectile","GunslingerUltiProjectile","GunslingerUltiProjectile","","sc/effects_brawler.sc","","","colt_004_bullet_ulti_blue","colt_004_bullet_ulti_red","shadow_normal_circle","","","","","","","colt_004_ulti_reached","colt_004_ulti_hit","colt_004_ulti_reached","","0","125","","","","","","","","","","colt_004_ulti_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colt005Projectile","GunslingerProjectile","GunslingerProjectile","","sc/effects_brawler.sc","","","colt_005_atk_projectile","colt_005_atk_projectile_red","shadow_normal_circle","","","","","","","colt_005_atk_hitEnv","colt_005_atk_hit","colt_005_atk_reached","","0","50","2","","","","","","","","","colt_005_atk_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colt005UltiProjectile","GunslingerUltiProjectile","GunslingerUltiProjectile","","sc/effects_brawler.sc","","","colt_005_ulti_projectile","colt_005_ulti_projectile_red","shadow_normal_circle","","","","","","","colt_005_atk_hitEnv","colt_005_ulti_hit","colt_005_atk_reached","","0","90","2","","","","","","","","","colt_005_atk_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colt006Projectile","GunslingerProjectile","GunslingerProjectile","","sc/effects_brawler.sc","","","colt_006_atk_projectile","colt_006_atk_projectile_red","shadow_normal_circle","","","","","","","colt_006_atk_hitEnv","colt_006_atk_hit","colt_006_atk_reached","","0","130","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colt006UltiProjectile","GunslingerUltiProjectile","GunslingerUltiProjectile","","sc/effects_brawler.sc","","","colt_006_ulti_projectile","colt_006_ulti_projectile_red","shadow_normal_circle","","","","","","","colt_006_atk_hitEnv","colt_006_ulti_hit","colt_def_ulti_reached","","0","125","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colt007Projectile","GunslingerProjectile","GunslingerProjectile","","sc/effects_brawler.sc","","","colt_007_atk_projectile","colt_007_atk_projectile_red","shadow_normal_circle","","","","","","","colt_007_atk_hitEnv","colt_007_atk_hit","colt_007_atk_reached","","0","100","2","","","","","","","","","colt_007_atk_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colt007UltiProjectile","GunslingerUltiProjectile","GunslingerUltiProjectile","","sc/effects_brawler.sc","","","colt_007_ulti_projectile","colt_007_ulti_projectile_red","shadow_normal_circle","","","","","","","colt_007_atk_hitEnv","colt_007_ulti_hit","colt_007_ulti_reached","","0","120","2","","","","","","","","","colt_007_atk_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colt008Projectile","GunslingerProjectile","GunslingerProjectile","","sc/effects_brawler.sc","","","colt_008_atk_projectile","colt_008_atk_projectile_red","shadow_normal_circle","","","","","","","colt_008_atk_hitEnv","colt_008_atk_hit","colt_008_atk_reached","","0","120","2","","","","","","","","","colt_008_atk_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colt008UltiProjectile","GunslingerUltiProjectile","GunslingerUltiProjectile","","sc/effects_brawler.sc","","","colt_008_ulti_projectile","colt_008_ulti_projectile_red","shadow_normal_circle_big","","","","","","","colt_008_atk_hitEnv","colt_008_ulti_hit","colt_008_ulti_reached","","0","130","2","","","","","","","","","colt_008_atk_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colt009Projectile","GunslingerProjectile","GunslingerProjectile","","sc/effects_brawler.sc","","","colt_009_atk_projectile","colt_009_atk_projectile_red","shadow_normal_circle","","","","","","","leon_008_atk_hit","leon_008_atk_hit","leon_008_atk_reached","","0","42","2","","","","","","","","","colt_009_atk_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colt009UltiProjectile","GunslingerUltiProjectile","GunslingerUltiProjectile","","sc/effects_brawler.sc","","","colt_009_ulti_projectile","colt_009_ulti_projectile_red","shadow_normal_circle_big","","","","","","","colt_009_ulti_reached","leon_008_atk_hit","colt_009_ulti_reached","","0","60","2","","","","","","","","","colt_009_ulti_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colt010Projectile","GunslingerProjectile","GunslingerProjectile","","sc/effects_brawler.sc","sc3d/colt_010_atk_projectile.glb","sc3d/colt_010_atk_projectile_red.glb","colt_010_atk_prj_glow","colt_010_atk_prj_glow_red","shadow_normal_circle","","","","","","","colt_010_atk_hitEnv","colt_010_atk_hit","colt_010_atk_reached","","0","47","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colt010UltiProjectile","GunslingerUltiProjectile","GunslingerUltiProjectile","","sc/effects_brawler.sc","sc3d/colt_010_ulti_projectile.glb","sc3d/colt_010_ulti_projectile_red.glb","colt_010_ulti_prj_glow","colt_010_ulti_prj_glow_red","shadow_normal_circle_big","","","","","","","colt_010_atk_hitEnv","colt_010_ulti_hit","colt_010_ulti_reached","","0","50","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colt011Projectile","GunslingerProjectile","GunslingerProjectile","","sc/effects_brawler_colt.sc","","","colt_011_atk_projectile","colt_011_atk_projectile_red","shadow_normal_circle","","","","","","","colt_011_atk_hit","colt_011_atk_hit","colt_011_reached","","0","47","2","","","","","","","","","colt_011_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Colt011UltiProjectile","GunslingerUltiProjectile","GunslingerUltiProjectile","","sc/effects_brawler_colt.sc","","","colt_011_ulti_projectile","colt_011_ulti_projectile_red","shadow_normal_circle_big","","","","","","","colt_011_ulti_hit","colt_011_ulti_hit","colt_011_reached","","0","50","2","","","","","","","","","colt_011_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BullDudeProjectile","BullDudeProjectile","","","sc/effects_brawler.sc","","","bullet_shotgun_def_blue_short","bullet_shotgun_def_red_short","shadow_normal_circle","","","","","","","Gen_hit","Gen_hit","bull_def_atk_reached","","0","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bull002Projectile","BullDudeProjectile","BullDudeProjectile","","sc/effects_brawler.sc","","","bull_002_atk_projectile","bull_002_atk_projectile_red","shadow_normal_circle","","","","","","","Gen_hit","Gen_hit","bull_002_atk_reached","","0","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bull003Projectile","BullDudeProjectile","BullDudeProjectile","","sc/effects_brawler.sc","","","bull_003_atk_projectile","bull_003_atk_projectile_red","shadow_normal_circle","","","","","","","bull_003_atk_reached","bull_003_atk_hit","bull_003_atk_reached","","0","100","","","","","","","","","","bull_003_atk_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bull004Projectile","BullDudeProjectile","BullDudeProjectile","","sc/effects_brawler.sc","","","bull_004_atk_projectile","bull_004_atk_projectile_red","shadow_normal_circle","","","","","","","bull_004_atk_reached","bull_004_atk_hit","bull_004_atk_reached","","0","100","2","","","","","","","","","bull_004_atk_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bull005Projectile","BullDudeProjectile","BullDudeProjectile","","sc/effects_brawler.sc","","","bull_005_atk_projectile","bull_005_atk_projectile_red","shadow_normal_circle","","","","","","","bull_005_atk_reached","bull_005_atk_hit","bull_005_atk_reached","","0","100","2","","","","","","","","","bull_005_atk_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bull006Projectile","BullDudeProjectile","BullDudeProjectile","","sc/effects_brawler.sc","","","bull_006_atk_projectile","bull_006_atk_projectile_red","shadow_normal_circle","","","","","","","bull_006_atk_reached","bull_006_atk_hit","bull_006_atk_reached","","0","100","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bull007Projectile","BullDudeProjectile","BullDudeProjectile","","sc/effects_brawler.sc","","","bull_007_atk_projectile","bull_007_atk_projectile_red","shadow_normal_circle","","","","","","","bull_007_atk_reached","bull_007_atk_hit","bull_007_atk_reached","","0","250","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bull008Projectile","BullDudeProjectile","BullDudeProjectile","","sc/effects_brawler.sc","","","bull_008_atk_projectile","bull_008_atk_projectile_red","shadow_normal_circle","","","","","","","bull_008_atk_reached","bull_008_atk_hit","bull_008_atk_reached","","0","250","2","","","","","","","","","bull_008_atk_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bull009Projectile","BullDudeProjectile","BullDudeProjectile","","sc/effects_brawler.sc","","","bull_009_atk_projectile","bull_009_atk_projectile_red","shadow_normal_circle","","","","","","","bull_009_atk_hit","bull_009_atk_hit","bull_009_atk_reached","","0","100","1","","","","","","","","","bull_009_atk_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bull011Projectile","BullDudeProjectile","BullDudeProjectile","","sc/effects_brawler_bull.sc","","","bull_011_atk_projectile","bull_011_atk_projectile_red","shadow_normal_circle","","","","","","","bull_011_atk_hitEnv","bull_011_atk_hit","bull_011_atk_reached","","0","250","2","","","","","","","","","bull_011_atk_trail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bull012Projectile","BullDudeProjectile","BullDudeProjectile","","sc/effects_brawler_bull.sc","","","bull_012_atk_projectile","bull_012_atk_projectile_red","shadow_normal_circle","","","","","","","bull_012_atk_hitEnv","bull_012_atk_hit","bull_012_atk_reached","","0","100","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RocketGirlProjectile","RocketGirlProjectile","","","sc/effects_brawler.sc","sc3d/brock_rocket_blue.scw","sc3d/brock_rocket_red.scw","brock_def_atk_tail_blue","brock_def_atk_tail_red","shadow_normal_circle","","","","","","","Gen_hit","Gen_hit","","","0","120","","","","","Brock_def_atk_area","BurnMainAttack","","","","brock_def_atk_trail","","","","","","UseZFrames","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RocketGirlUltiProjectile","RocketGirlUltiProjectile","","","sc/effects_brawler.sc","sc3d/brock_rocket_blue.scw","sc3d/brock_rocket_red.scw","brock_def_ulti_tail_blue","brock_def_ulti_tail_red","shadow_normal_circle","","","","","","","Gen_hit","Gen_hit","","","0","120","","","","","Brock_def_ulti_area","","","","","brock_def_ulti_trail","","","","","","UseZFrames","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock002Projectile","RocketGirlProjectile","RocketGirlProjectile","","sc/effects_brawler.sc","sc3d/brock_rocket_blue.scw","sc3d/brock_rocket_red.scw","brock_002_atk_tail_blue","brock_002_atk_tail_red","shadow_normal_circle","","","","","","","Gen_hit","Gen_hit","","","0","120","","","","","Brock_002_atk_area","BurnMainAttack","","","","brock_def_atk_trail","","","","","","UseZFrames","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock002UltiProjectile","RocketGirlUltiProjectile","RocketGirlUltiProjectile","","sc/effects_brawler.sc","sc3d/brock_rocket_blue.scw","sc3d/brock_rocket_red.scw","brock_def_ulti_tail_blue","brock_def_ulti_tail_red","shadow_normal_circle","","","","","","","Gen_hit","Gen_hit","","","0","120","","","","","Brock_002_ulti_area","","","","","brock_def_ulti_trail","","","","","","UseZFrames","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock003Projectile","RocketGirlProjectile","RocketGirlProjectile","","sc/effects_brawler.sc","sc3d/brock_003_atk_blue.scw","sc3d/brock_003_atk_red.scw","brock_def_atk_tail_blue","brock_def_atk_tail_red","shadow_normal_circle","","","","","","","Gen_hit","Gen_hit","","","0","120","","","","","Brock_def_atk_area","BurnMainAttack","","","","brock_def_atk_trail","","","","","","UseZFrames","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Brock003UltiProjectile","RocketGirlUltiProjectile","RocketGirlUltiProjectile","","sc/effects_brawler.sc","sc3d/brock_003_atk_blue.scw","sc3d/brock_003_atk_red.scw","brock_def_ulti_tail_blue","brock_def_ulti_tail_red","shadow_normal_circle","","","","","","","Gen_hit","Gen_hit","","","0","120","","","","","Brock_def_ulti_area","","","","","brock_def_ulti_trail","","","","","","UseZFrames","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
